ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
405,Children with a birth weight from card,,​Percentage of births with a birth weight recorded on a card,Proportion,​Number of births with a birth weight recorded on a card,​Number of births in the recall period,"Calculation: Numerator divided by denominator multiplied by 100

Handling of missing values: Included in denominator",Anthropometry,Birthweight,BW_UNW_CARD,NT_BW_UNW_CARD,False,False,False,,False,,False,False,Low Birthweight Consultation,Other,Live Births,Crude Country Weighted Aggregation,All Births,,Derived,"For DHS, the definition of included births changed in 2018, moving from all live births in the last five years to the most recent live-birth in the last five years. The MICS definition, most recent live birth in the last two years, has not changed.
The recall period can vary by survey. DHS recall period is typically five years, while for MICS it is usually two years.",,births,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization"
406,Children with a birth weight from recall,,​Percentage of births with a birth weight reported by caretaker’s recall,Proportion,​Number of births with a birth weight reported by caretaker’s recall,​Number of births in the recall period,"Calculation: Numerator divided by denominator multiplied by 100
Handling of missing values: Included in denominator",Anthropometry,Birthweight,BW_UNW_RECALL,NT_BW_UNW_RECALL,False,False,False,,False,,False,False,Low Birthweight Consultation,Other,Live Births,Crude Country Weighted Aggregation,All Births,,Derived,"For DHS, the definition of included births changed in 2018, moving from all live births in the last five years to the most recent live-birth in the last five years. The MICS definition, most recent live birth in the last two years, has not changed.

The recall period can vary by survey. DHS recall period is typically five years, while for MICS it is usually two years.",,births,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization"
407,Children without a valid birth weight,,​Percentage of births without a valid recorded or reported birth weight,Proportion,"​Survey: Number of births without a reported birthweight between 250 to 5,500 grams
Administrative: Annual number of live births without an ‘in-range’ birthweight","Survey: ​Number of births in the recall period 

Administrative: Estimated annual number of live births","Calculation: Numerator divided by denominator multiplied by 100
Handling of missing values: Included in denominator",Anthropometry,Birthweight,BW_VALIDUNW,NT_BW_VALIDUNW,False,False,False,,False,,False,False,Low Birthweight Consultation,Other,All Births,Crude Country Weighted Aggregation,All Births,,Derived,"For DHS, the definition of included births changed in 2018, moving from all live births in the last five years to the most recent live-birth in the last five years. The MICS definition, most recent live birth in the last two years, has not changed.

The recall period can vary by survey. DHS recall period is typically five years, while for MICS it is usually two years.

For surveys, valid means that the birthweight is biologically plausible, and is defined as between 250g and 5,500g. For administrative data, valid means that the birthweight fits within the 'valid range' as specified by the country; and the 'valid range' varies by country.

The denominator for administrative data is an estimation/projection from the UN Population Division World Population Prospects.",,births,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization"
408,Moderate Food Poverty,3 or 4 Food Groups,Percentage of children 6–23 months of age consuming foods and beverages from three or four out of eight defined food groups during the previous day,Proportion,​Children 6-23 months of age who consumed 3 or 4 food groups (out of 8) during the previous day,​Children 6-23 months of age.,"The eight food groups are: (i) breastmilk; (ii) grains, roots, tubers and plantains; (iii) pulses (beans, peas, lentils), nuts and seeds; (iv) dairy products (infant formula, milk, yogurt, cheese); (v) flesh foods (meat, fish, poultry, organ meats); (vi) eggs; (vii) vitamin-A rich fruits and vegetables; (viii) other fruits and vegetables.",Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4,NT_CF_FG_3_T_4,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,6 to 23 months,,Derived,,,pop_month_6_23,"Division of Analysis, Planning and Monitoring, UNICEF"
409,The number of children who consumed grains out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_GRAINS,NT_CF_FG_3_T_4_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
410,The number of children who consumed legumes out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_LEGUMES,NT_CF_FG_3_T_4_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
411,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_VITA,NT_CF_FG_3_T_4_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
412,The number of children who consumed other fruits and vegetables out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_OTHER_FV,NT_CF_FG_3_T_4_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
413,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 3-4 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_FF,NT_CF_FG_3_T_4_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
414,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese) out of all the children who consumed 3-4 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_DAIRY,NT_CF_FG_3_T_4_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
415,The number of children who consumed eggs out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_EGGS,NT_CF_FG_3_T_4_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
416,The number of children who consumed breastmilk out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_BREASTMILK,NT_CF_FG_3_T_4_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
417,The number of children who consumed grains out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_GRAINS,NT_CF_FG_0_T_2_H_GRAINS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
418,The number of children who consumed legumes out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_LEGUMES,NT_CF_FG_0_T_2_H_LEGUMES,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
419,The number of children who consumed vitamin-A rich fruits and vegetables out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_VITA,NT_CF_FG_0_T_2_H_VITA,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
420,The number of children who consumed other fruits and vegetables out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_OTHER_FV,NT_CF_FG_0_T_2_H_OTHER_FV,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
421,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 0-2 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_FF,NT_CF_FG_0_T_2_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
422,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese) out of all the children who consumed 0-2 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_DAIRY,NT_CF_FG_0_T_2_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
423,The number of children who consumed eggs out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_EGGS,NT_CF_FG_0_T_2_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
424,The number of children who consumed breastmilk out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_BREASTMILK,NT_CF_FG_0_T_2_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
425,The number of children who consumed no food out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_NOFOOD,NT_CF_FG_0_T_2_H_NOFOOD,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
426,The number of children who consumed breastmilk only out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_BMONLY,NT_CF_FG_0_T_2_H_BMONLY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
427,The number of children who consumed dairy only out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_DRONLY,NT_CF_FG_0_T_2_H_DRONLY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
428,The number of children who consumed breastmilk and starchy staples out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_BMST,NT_CF_FG_0_T_2_H_BMST,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
429,The number of children who consumed breastmilk and dairy out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_BMDR,NT_CF_FG_0_T_2_H_BMDR,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
430,The number of children who consumed dairy and starchy staples out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_DRST,NT_CF_FG_0_T_2_H_DRST,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
431,The number of children who consumed breastmilk and other out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_BROT,NT_CF_FG_0_T_2_H_BROT,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
432,The number of children who consumed dairy and other out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_DROT,NT_CF_FG_0_T_2_H_DROT,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
433,The number of children who consumed starchy staples only out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_ST,NT_CF_FG_0_T_2_H_ST,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
434,The number of children who consumed any other food group out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_OT,NT_CF_FG_0_T_2_H_OT,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
435,The number of children who ate zero food groups out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_FG0,NT_CF_FG_0_T_2_H_FG0,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
436,The number of children who ate one food groups out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_FG1,NT_CF_FG_0_T_2_H_FG1,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
437,The number of children who ate two food groups out of all the children who consumed 0-2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0_T_2_H_FG2,NT_CF_FG_0_T_2_H_FG2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
438,The number of children who ate three food groups out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_FG3,NT_CF_FG_3_T_4_H_FG3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
439,The number of children who ate four food groups out of all the children who consumed 3-4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_T_4_H_FG4,NT_CF_FG_3_T_4_H_FG4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
440,MDD (Historical),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_MDD_HIST,NT_CF_MDD_HIST,False,False,False,,False,,False,True,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
441,MMF (Historical),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_MMF_HIST,NT_CF_MMF_HIST,False,False,False,,False,,False,True,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
442,MAD (Historical),,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_MAD_HIST,NT_CF_MAD_HIST,False,False,False,,False,,False,True,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
443,The number of children who consumed at most 2 food groups out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_0_T_2,NT_CF_GRAINS_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
444,The number of children who consumed at most 2 food groups out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_0_T_2,NT_CF_LEGUMES_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
445,The number of children who consumed at most 2 food groups out of all the children who consumed vitamin-A rich fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA_H_FG_0_T_2,NT_CF_VITA_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
446,The number of children who consumed at most 2 food groups out of all the children who consumed other fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_OTHER_FV_H_FG_0_T_2,NT_CF_OTHER_FV_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
447,"The number of children who consumed at most 2 food groups out of all the children who consumed flesh foods (meat, poultry, fish and organ meats)",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FF_H_FG_0_T_2,NT_CF_FF_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
448,The number of children who consumed at most 2 food groups out of all the children who consumed eggs,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_EGGS_H_FG_0_T_2,NT_CF_EGGS_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
449,The number of children who consumed at most 2 food groups out of all the children who consumed breastmilk,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_BREASTMILK_H_FG_0_T_2,NT_CF_BREASTMILK_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
450,"The number of children who consumed at most 2 food groups out of all the children who consumed dairy (milk, infant formula, yogurt, cheese)",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_DAIRY_H_FG_0_T_2,NT_CF_DAIRY_H_FG_0_T_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
451,The number of children who consumed 3 or 4 food groups out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_3_T_4,NT_CF_GRAINS_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
452,The number of children who consumed 3 or 4 food groups out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_3_T_4,NT_CF_LEGUMES_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
453,The number of children who consumed 3 or 4 food groups out of all the children who consumed vitamin-A rich fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA_H_FG_3_T_4,NT_CF_VITA_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
454,The number of children who consumed 3 or 4 food groups out of all the children who consumed other fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_OTHER_FV_H_FG_3_T_4,NT_CF_OTHER_FV_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
455,"The number of children who consumed 3 or 4 food groups out of all the children who consumed flesh foods (meat, poultry, fish and organ meats)",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FF_H_FG_3_T_4,NT_CF_FF_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
456,The number of children who consumed 3 or 4 food groups out of all the children who consumed eggs,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_EGGS_H_FG_3_T_4,NT_CF_EGGS_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
457,The number of children who consumed 3 or 4 food groups out of all the children who consumed breastmilk,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_BREASTMILK_H_FG_3_T_4,NT_CF_BREASTMILK_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
458,"The number of children who consumed 3 or 4 food groups out of all the children who consumed dairy (milk, infant formula, yogurt, cheese)",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_DAIRY_H_FG_3_T_4,NT_CF_DAIRY_H_FG_3_T_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
